"Ranking,Name,ELO,PlayedGames"
"174,[WIRE]ɪncɵgnɪzɐncɘ2,126.8,69"
"175,hhfjhj,126.8,241"
"176,megapint8,126.2,80"
"177,[WIRE]ɪncɵgnɪzɐncɘ,125.1,430"
"178,[ARCH]Plat,124.5,123"
"179,bastinou,124.0,477"
"180,[187]Roazhon,124.0,1225"
"181,why,124.0,641"
"182,Fullsendaddict,123.9,76"
"183,[?]Miragegarden,123.4,155"
"184,Uramoona,123.3,66"
"185,smallpenisenergy,123.3,124"
"186,[FR]Elliot123,123.1,203"
"187,*[PL]Grzesiu,122.9,94"
"188,megapint188,122.6,69"
"189,Kaladin,121.9,268"
"190,[brrr]so,121.8,252"
"191,[ECHO]Fullsender,121.5,298"
"192,[DIG]Mrsheikh,121.4,311"
"193,hiagain,121.2,162"
"194,Player216,121.1,58"
"195,[POR]VimarãesTeam,120.8,113"
"196,fullsend!,120.7,68"
"197,1976army,120.3,567"
"198,[Thigh]Ling,120.2,633"
"199,Daddy[Cool],120.2,370"
"200,[IND]noobfr,120.2,238"
"201,Badro,120.0,399"
"202,[FX]PGSniper,119.7,75"
"203,psychoduck,119.7,382"
"204,megapint250,119.5,74"
"205,[NATO]|$|,119.4,912"
"206,Tze-Tze,119.4,619"
"207,[IND]g0at,119.3,88"
"208,[Elite]sdfgsdf,118.8,182"
"209,(2)HunterJrX,118.6,261"
"210,[VOID]senior,118.5,314"
"211,[UZB]CottonFields,118.4,183"
"212,[FR]Elliot123,118.2,193"
"213,[1825]Y,118.1,350"
"214,[CORGI]TheWatcher,117.8,59"
"215,[JESUS]IsKing,117.7,192"
"216,[ECHO]CriticalMass,116.9,287"
"217,[wrath],116.9,107"
"218,Yaro,116.7,1034"
"219,ProudEuropoor,116.4,861"
"220,[IND]lmao,116.4,158"
"221,SupBish,116.0,99"
"222,ElevenTwelve,115.9,138"
"223,sod,115.8,175"
"224,[OG]Hello,115.6,233"
"225,[EU]Nick,115.6,287"
"226,benedetta,115.3,119"
"227,NaxNR1#,115.1,106"
"228,[Corgi]YourNeighbor,115.0,124"
"229,scurj,114.9,345"
"230,Таджикистан,114.7,266"
"231,Вклан[RU],114.4,128"
"232,[OG]spqr,114.4,88"
"233,[OG]Lysucas,114.2,1033"
"234,Isopropylalcohol,114.2,829"
"235,[#ICHEAT]Enzo,114.2,68"
"236,isattackingyou!,114.2,35"
"237,?Country,114.1,168"
"238,megapint485,113.9,55"
"239,Ares,113.9,259"
"240,[ELITE]Rambo777,113.7,171"
"241,hmm,113.6,335"
"242,[UZB]Khalid,113.5,165"
"243,Nice,113.4,203"
"244,Territoryx,113.4,976"
"245,[FR]Gleconquerant,113.4,126"
"246,[Waifu]Ruby,113.3,340"
"247,[209]PlzDon't,113.2,193"
"248,Player53,113.2,166"
"249,Imperium[SPQR],113.2,458"
"250,[Echo]Zakatak,113.1,179"
"251,Umba,113.0,210"
"252,[ELITE]gaby23,112.5,130"
"253,iOSUser317,112.5,265"
"254,cool,112.5,946"
"255,[OG]Esperanto,112.4,559"
"256,[UNION]Jack,112.3,855"
"257,[VOID]Chronicle,112.0,250"
"258,TypicalFullsendLtd,112.0,70"
"259,[WİND]ShellBee,111.8,596"
"260,[WRATH]Canada,111.7,102"
"261,Caribourrin,111.5,227"
"262,[Eng]land,111.3,440"
"263,[ZEN]G.D.,110.9,77"
"264,Player980,110.8,156"
"265,Klopp,110.6,838"
"266,Man,110.6,516"
"267,[CORGI]Corsica,110.5,45"
"268,YourWastedPotential,110.2,612"
"269,AndroidUser583,110.1,78"
"270,[WIRE]Jɐskɪɘr,109.8,58"
"271,[ELITE]balls,109.8,467"
"272,Player265,109.7,217"
"273,[WIRE]Trovvie,109.4,118"
"274,[Corgi]BeNice,109.2,221"
"275,[OG]Poland,109.1,78"
"276,[BBQ]Brisket,108.8,613"
"277,[corgi]eziz,108.8,129"
"278,Player764,108.5,83"
"279,[USSR]MarlKarx,108.4,144"
"280,Daddy[Cool],107.9,459"
"281,OrdoabChao,107.8,374"
"282,[CHEESE]eyyyy,107.6,293"
"283,Night,107.2,135"
"284,Hawaii,107.2,80"
"285,TheGrandRepublic,107.1,59"
